Exact Age,Death Probability (Male),Number of Lives (Male),Life Expectancy (Male),Death Probability (Female),Number of Lives (Female),Life Expectancy (Female)
0,0.00586,100000,73.54,0.005063,100000,79.3
1,0.00042,99414,72.97,0.000393,99494,78.7
2,0.000272,99372,72,0.000223,99455,77.74
3,0.000225,99345,71.02,0.000177,99432,76.75
4,0.000184,99323,70.04,0.000144,99415,75.77
5,0.000157,99304,69.05,0.000122,99400,74.78
6,0.00014,99289,68.06,0.000109,99388,73.79
7,0.000128,99275,67.07,0.000102,99378,72.79
8,0.000122,99262,66.08,0.000098,99367,71.8
9,0.000123,99250,65.09,0.000097,99358,70.81
10,0.000129,99238,64.1,0.000103,99348,69.82
11,0.000138,99225,63.1,0.000113,99338,68.82
12,0.000164,99211,62.11,0.000131,99327,67.83
13,0.00022,99195,61.12,0.000157,99314,66.84
14,0.00031,99173,60.14,0.00019,99298,65.85
15,0.000446,99143,59.16,0.000233,99279,64.86
16,0.000637,99098,58.18,0.000291,99256,63.88
17,0.000868,99035,57.22,0.000355,99227,62.9
18,0.0011,98949,56.27,0.000418,99192,61.92
19,0.00127,98840,55.33,0.000461,99150,60.94
20,0.001373,98715,54.4,0.000507,99105,59.97
21,0.001488,98579,53.47,0.000556,99055,59
22,0.001605,98433,52.55,0.00061,98999,58.03
23,0.001714,98275,51.64,0.000666,98939,57.07
24,0.001835,98106,50.72,0.000722,98873,56.11
25,0.001963,97926,49.82,0.000775,98802,55.15
26,0.002082,97734,48.91,0.000831,98725,54.19
27,0.002202,97530,48.01,0.000889,98643,53.23
28,0.00233,97316,47.12,0.000952,98555,52.28
29,0.002457,97089,46.23,0.001025,98462,51.33
30,0.002574,96850,45.34,0.001104,98361,50.38
31,0.002683,96601,44.46,0.001192,98252,49.44
32,0.002787,96342,43.57,0.001289,98135,48.5
33,0.002881,96073,42.69,0.001383,98008,47.56
34,0.002974,95797,41.82,0.001465,97873,46.62
35,0.003074,95512,40.94,0.001544,97730,45.69
36,0.003175,95218,40.06,0.001626,97579,44.76
37,0.003295,94916,39.19,0.001719,97420,43.83
38,0.003444,94603,38.32,0.001824,97252,42.91
39,0.003608,94277,37.45,0.00194,97075,41.98
40,0.00378,93937,36.58,0.002066,96887,41.07
41,0.003958,93582,35.72,0.002202,96687,40.15
42,0.004144,93211,34.86,0.002351,96474,39.24
43,0.004337,92825,34,0.002482,96247,38.33
44,0.00454,92423,33.15,0.002622,96008,37.42
45,0.004774,92003,32.3,0.002789,95756,36.52
46,0.005064,91564,31.45,0.002994,95489,35.62
47,0.005399,91100,30.61,0.003219,95203,34.73
48,0.005796,90608,29.77,0.003467,94897,33.84
49,0.006214,90083,28.94,0.003729,94568,32.95
50,0.006671,89523,28.12,0.004011,94215,32.07
51,0.007167,88926,27.3,0.004306,93837,31.2
